CHURN,Gender,Status,Children,EstIncome,CarOwner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan
"T","F","M",0,38538.400000,"N",12,22.860000,8.320000,16.480000,0,"CC","FreeLocal","Standard",47,3
"F","F","S",0,69350.500000,"Y",57,1.900000,0.000000,25.950000,0,"CC","FreeLocal","Standard",27,4
"T","M","S",2,43634.500000,"N",21,29.440000,9.420000,104.640000,0,"CC","Budget","Standard",143,1
"T","F","S",1,13109.100000,"N",62,22.380000,0.000000,40.480000,0,"Auto","Budget","Standard",62,1
"T","M","S",1,92647.500000,"N",56,16.040000,5.740000,10.340000,0,"CC","Budget","Standard",32,4
"T","F","S",2,21021.600000,"Y",62,1.000000,0.000000,11.190000,0,"CC","Budget","Standard",14,3
"T","M","S",0,74460.700000,"Y",55,25.530000,0.990000,179.930000,0,"CC","FreeLocal","Standard",206,2
"T","F","S",2,28787.400000,"N",41,27.970000,0.000000,58.090000,0,"Auto","Budget","Standard",86,2
"F","M","M",1,13091.600000,"N",59,22.790000,0.000000,20.260000,0,"CC","Budget","Intnl_discount",43,2
"F","F","M",2,62061.800000,"Y",45,29.860000,0.000000,52.220000,0,"Auto","FreeLocal","Standard",82,2
"T","F","M",1,20550.900000,"Y",22,27.720000,0.860000,57.060000,0,"CC","Budget","Standard",85,3
"F","M","M",2,1765.410000,"N",18,3.040000,0.000000,44.950000,0,"CC","FreeLocal","Standard",47,4
"T","F","S",2,19131.100000,"N",56,22.150000,0.000000,34.910000,0,"Auto","Budget","Standard",57,2
"F","F","S",2,83073.700000,"N",39,0.000000,0.000000,3.200000,0,"CC","Budget","Standard",3,4
"F","M","M",2,42750.300000,"Y",50,20.590000,1.970000,112.400000,0,"Auto","Budget","Intnl_discount",134,1
"T","F","S",2,2842.550000,"N",45,0.000000,0.000000,0.790000,0,"Auto","Budget","Intnl_discount",0,2
"F","M","M",2,22358.100000,"N",52,15.540000,1.520000,12.190000,0,"CC","Budget","Standard",29,1
"F","M","M",0,47870.800000,"Y",27,2.000000,1.170000,12.480000,0,"CC","FreeLocal","Standard",13,2
"F","F","S",2,6440.460000,"Y",52,22.660000,0.000000,27.200000,0,"CH","Budget","Standard",49,1
"T","F","S",0,7325.500000,"N",36,28.520000,0.000000,161.540000,0,"CC","FreeLocal","Intnl_discount",190,2
"F","M","M",2,28766.900000,"N",46,6.110000,0.000000,58.080000,0,"CC","Budget","Standard",64,1
"F","M","M",2,91272.200000,"Y",25,26.990000,0.000000,13.010000,0,"CC","FreeLocal","Standard",40,3
"T","M","S",0,65000.000000,"Y",45,11.630000,9.700000,115.660000,1,"Auto","FreeLocal","Intnl_discount",137,4
"F","M","M",2,1406.050000,"Y",19,11.550000,0.000000,15.170000,0,"CC","Budget","Standard",26,1
"F","F","S",0,73228.300000,"N",62,22.470000,0.000000,28.110000,0,"Auto","Budget","Standard",50,4
"F","F","S",2,76231.900000,"N",63,2.010000,0.000000,150.750000,0,"Auto","FreeLocal","Standard",152,2
"T","M","M",1,64792.300000,"N",52,13.050000,1.510000,36.840000,0,"CH","FreeLocal","Standard",51,3
"T","F","S",0,93322.100000,"Y",40,29.920000,0.000000,8.790000,0,"CH","Budget","Intnl_discount",38,1
"T","M","M",1,63437.300000,"N",63,0.680000,3.350000,10.940000,0,"CC","Budget","Intnl_discount",14,4
"F","M","M",2,49910.700000,"Y",51,27.420000,0.000000,23.720000,0,"CC","Budget","Standard",51,3
"T","M","M",0,76161.400000,"Y",44,11.960000,0.000000,25.580000,0,"CC","FreeLocal","Standard",37,4
"F","F","M",2,55860.000000,"Y",14,16.010000,0.000000,10.350000,0,"CC","FreeLocal","Intnl_discount",26,3
"T","F","S",1,12686.000000,"N",64,23.230000,0.000000,80.640000,0,"Auto","Budget","Standard",103,2
"F","M","M",2,57360.800000,"Y",53,10.360000,0.000000,57.250000,0,"CC","FreeLocal","Standard",67,1
"T","M","M",0,92414.700000,"Y",45,29.430000,0.000000,10.620000,0,"CC","FreeLocal","Standard",40,4
"T","M","M",1,60102.700000,"N",42,9.840000,0.000000,62.440000,1,"CH","FreeLocal","Standard",72,3
"F","F","M",2,17888.700000,"N",55,29.410000,0.000000,332.460000,0,"CC","Budget","Standard",361,1
"T","F","S",1,12526.300000,"N",53,11.720000,0.000000,28.860000,0,"CC","FreeLocal","Intnl_discount",40,2
"T","F","S",2,14578.800000,"Y",60,11.910000,0.000000,95.100000,0,"Auto","Budget","Standard",107,1
"T","M","M",0,78572.200000,"Y",42,21.810000,0.000000,29.280000,1,"CC","FreeLocal","Standard",51,4
"F","F","M",2,48238.800000,"N",34,23.280000,0.000000,168.030000,0,"CC","FreeLocal","Standard",191,4
"F","F","M",0,28770.900000,"N",12,27.990000,5.320000,16.270000,0,"CH","FreeLocal","Standard",49,4
"F","F","M",2,87578.200000,"Y",53,0.290000,0.000000,22.150000,0,"CC","Budget","Standard",22,1
"F","F","M",2,86695.400000,"N",13,25.940000,0.000000,32.090000,0,"CC","FreeLocal","Standard",58,2
"F","F","S",2,76791.200000,"N",61,20.710000,0.000000,23.000000,0,"CC","Budget","Intnl_discount",43,4
"T","F","D",0,30763.800000,"Y",14,21.320000,0.000000,35.850000,0,"CC","Budget","Standard",57,4
"F","F","M",2,3193.600000,"N",54,4.190000,0.000000,114.620000,1,"CH","Budget","Standard",118,3
"F","M","M",1,69680.900000,"N",15,7.670000,0.000000,32.120000,0,"CC","FreeLocal","Intnl_discount",39,2
"F","F","M",0,83287.000000,"N",45,29.640000,0.000000,90.180000,4,"Auto","FreeLocal","Intnl_discount",119,3
"T","M","S",0,2056.060000,"Y",18,24.070000,6.980000,27.750000,0,"Auto","Budget","Standard",58,2
"F","F","M",2,7776.600000,"N",35,25.870000,0.000000,68.330000,0,"CC","FreeLocal","Standard",94,4
"F","M","M",1,2067.820000,"N",47,15.250000,0.000000,70.650000,0,"CC","Budget","Intnl_discount",85,4
"T","M","S",0,66666.000000,"N",52,4.580000,7.660000,8.490000,0,"CH","Budget","Standard",20,1
"F","F","M",2,69343.300000,"N",42,6.360000,0.000000,15.540000,0,"CC","FreeLocal","Standard",21,2
"F","F","M",0,77000.000000,"N",55,0.570000,0.000000,23.890000,2,"Auto","Budget","Standard",24,4
"F","F","M",0,14932.500000,"N",52,4.910000,0.000000,6.500000,0,"CC","Budget","Intnl_discount",11,1
"F","F","S",0,27498.100000,"N",42,2.200000,0.000000,9.880000,0,"CC","Budget","Intnl_discount",12,4
"F","F","M",2,21419.900000,"N",59,26.390000,0.000000,103.120000,0,"CC","FreeLocal","Standard",129,1
"F","F","M",2,30665.200000,"Y",22,5.830000,8.320000,63.280000,0,"Auto","FreeLocal","Standard",77,3
"F","F","M",1,66000.000000,"Y",63,6.080000,0.000000,30.950000,0,"Auto","FreeLocal","Intnl_discount",37,2
"F","F","M",2,50561.300000,"N",52,16.600000,0.000000,113.310000,1,"CH","Budget","Standard",129,2
"T","F","S",2,23464.000000,"Y",70,22.430000,0.000000,41.710000,0,"CC","Budget","Intnl_discount",64,3
"F","F","M",2,194.570000,"N",42,28.260000,0.000000,38.950000,0,"CC","FreeLocal","Standard",67,4
"F","F","M",1,98680.400000,"Y",55,17.580000,0.000000,8.850000,0,"CH","FreeLocal","Intnl_discount",26,4
"T","M","M",1,65619.700000,"Y",46,13.560000,0.000000,144.660000,0,"CC","Budget","Standard",158,3
"F","F","M",1,95620.300000,"Y",52,10.910000,0.000000,93.610000,0,"CC","Budget","Standard",104,2
"F","F","S",0,85275.000000,"N",47,22.480000,0.000000,151.610000,0,"Auto","FreeLocal","Intnl_discount",174,2
"F","F","M",1,66921.400000,"Y",43,15.700000,0.000000,8.970000,0,"CC","FreeLocal","Intnl_discount",24,3
"F","F","M",1,98453.600000,"Y",46,13.720000,0.000000,11.650000,0,"Auto","FreeLocal","Standard",25,3
"F","F","M",2,94026.800000,"Y",27,25.000000,0.000000,10.620000,0,"CC","FreeLocal","Intnl_discount",35,3
"F","F","S",2,57420.000000,"Y",61,25.180000,0.000000,252.530000,1,"Auto","Budget","Standard",277,2
"T","M","M",0,77000.000000,"N",44,3.930000,3.730000,26.690000,1,"CH","FreeLocal","Standard",34,4
"F","M","M",2,47639.100000,"N",48,17.480000,0.000000,39.620000,0,"CC","Budget","Intnl_discount",57,4
"F","F","M",2,63234.500000,"Y",52,0.000000,0.000000,1.160000,0,"CH","FreeLocal","Intnl_discount",1,3
"F","F","M",2,18296.400000,"Y",42,0.080000,0.000000,10.390000,0,"CC","FreeLocal","Standard",10,3
"T","F","S",0,39461.000000,"N",22,22.870000,0.280000,103.520000,1,"CC","FreeLocal","Standard",126,4
"F","F","S",1,68000.000000,"N",60,22.820000,0.000000,63.290000,0,"Auto","FreeLocal","Standard",86,3
"F","F","M",2,52957.000000,"Y",39,25.790000,0.000000,125.520000,2,"CH","FreeLocal","Standard",151,2
"F","F","S",2,86747.100000,"N",64,20.150000,0.000000,37.240000,0,"Auto","Budget","Standard",57,3
"F","F","M",1,87404.600000,"N",63,21.630000,0.000000,139.200000,0,"Auto","Budget","Standard",160,3
"F","M","S",2,20919.000000,"N",27,6.260000,4.920000,153.360000,0,"CC","FreeLocal","Intnl_discount",164,2
"F","F","M",2,85394.000000,"Y",20,19.280000,2.020000,14.380000,1,"Auto","Budget","Intnl_discount",35,4
"T","F","S",0,2121.360000,"N",39,2.020000,0.000000,36.780000,1,"CC","FreeLocal","Standard",38,3
"F","F","M",2,63566.100000,"Y",56,7.940000,0.000000,65.090000,0,"CH","Budget","Intnl_discount",73,2
"F","F","S",0,89813.600000,"N",12,14.940000,1.960000,149.260000,0,"CC","FreeLocal","Intnl_discount",166,4
"F","F","M",2,82644.200000,"Y",33,21.970000,0.000000,19.880000,0,"CC","FreeLocal","Intnl_discount",41,4
"T","F","S",1,27783.600000,"N",14,4.970000,6.530000,18.070000,0,"CC","FreeLocal","Standard",29,3
"F","F","M",2,60485.500000,"N",41,11.700000,0.000000,28.700000,0,"Auto","Budget","Intnl_discount",40,1
"F","F","M",2,809.430000,"Y",31,0.000000,0.000000,2.890000,0,"CH","FreeLocal","Intnl_discount",2,1
"T","M","S",1,76529.800000,"N",58,18.460000,5.360000,20.050000,0,"CC","Budget","Standard",43,1
"F","F","M",2,34577.700000,"N",63,29.180000,0.000000,116.570000,3,"CH","Budget","Standard",145,2
"F","F","M",0,80000.000000,"N",48,27.560000,0.000000,45.460000,0,"Auto","Budget","Standard",73,3
"T","F","S",2,19008.400000,"Y",52,10.540000,0.000000,137.190000,0,"CC","FreeLocal","Standard",147,4
"F","F","M",0,98056.300000,"N",55,23.700000,0.000000,126.960000,0,"Auto","FreeLocal","Standard",150,3
"T","M","M",0,73400.000000,"Y",64,0.000000,0.000000,2.210000,0,"CH","Budget","Standard",2,4
"F","M","M",0,78894.200000,"N",28,2.000000,1.410000,43.230000,0,"CH","Budget","Intnl_discount",46,2
"T","M","S",1,16432.100000,"Y",20,20.410000,8.890000,80.470000,0,"CH","Budget","Intnl_discount",109,1
"T","M","M",0,62797.900000,"N",54,8.320000,4.280000,55.480000,0,"CH","Budget","Intnl_discount",68,1
"T","M","S",1,71329.900000,"Y",42,14.270000,3.550000,45.920000,0,"CC","Budget","Standard",63,3
"T","F","S",0,20913.600000,"N",53,22.990000,7.160000,65.770000,0,"CC","FreeLocal","Standard",95,4
"T","F","S",1,540.400000,"Y",39,12.340000,0.000000,7.750000,0,"Auto","Budget","Intnl_discount",20,4
"F","M","M",2,67339.800000,"N",17,27.830000,5.190000,48.690000,0,"CC","FreeLocal","Intnl_discount",81,2
"T","M","M",1,75799.900000,"N",46,22.240000,7.020000,64.800000,0,"CC","FreeLocal","Intnl_discount",94,3
"T","F","S",2,15688.500000,"N",53,14.390000,0.000000,8.030000,0,"CC","Budget","Standard",22,4
"T","F","S",0,43382.300000,"N",16,29.670000,8.760000,99.940000,0,"CH","FreeLocal","Standard",138,2
"T","F","S",0,5185.310000,"N",62,16.390000,5.990000,30.510000,0,"CC","FreeLocal","Intnl_discount",52,2
"T","F","S",0,41000.000000,"N",16,26.010000,0.000000,108.440000,0,"CC","Budget","Standard",134,4
"T","F","S",0,32098.000000,"N",22,22.960000,8.280000,75.270000,0,"CH","Budget","Intnl_discount",106,2
"F","F","M",2,80087.700000,"N",41,8.740000,0.000000,22.820000,0,"CC","FreeLocal","Standard",31,4
"F","F","M",2,59691.300000,"N",38,21.940000,0.000000,256.700000,0,"CC","Budget","Standard",278,2
"T","F","S",2,11251.100000,"Y",61,28.420000,0.000000,113.480000,0,"CC","FreeLocal","Standard",141,2
"T","M","M",0,70908.700000,"N",49,7.700000,4.550000,43.200000,0,"CC","FreeLocal","Standard",55,4
"T","M","S",0,94928.300000,"N",40,14.420000,5.610000,73.740000,0,"CH","FreeLocal","Standard",93,4
"F","F","M",2,50622.300000,"N",40,20.450000,2.070000,90.190000,0,"Auto","FreeLocal","Standard",112,2
"T","M","M",0,78000.000000,"Y",52,16.200000,4.270000,18.840000,0,"CC","FreeLocal","Intnl_discount",39,3
"T","M","M",0,100020.000000,"Y",52,29.550000,0.000000,62.810000,0,"CH","Budget","Standard",92,4
"F","F","M",1,56722.800000,"N",60,17.370000,6.210000,51.170000,0,"CC","FreeLocal","Standard",74,2
"T","M","M",1,80000.000000,"N",53,0.000000,0.000000,3.220000,0,"CC","Budget","Intnl_discount",3,3
"T","F","S",2,3416.620000,"Y",22,18.970000,0.000000,104.730000,0,"CC","Budget","Standard",123,4
"F","F","M",0,73400.000000,"Y",55,0.170000,0.000000,10.220000,0,"Auto","Budget","Standard",10,2
"T","M","M",0,120000.000000,"Y",53,15.270000,0.000000,25.620000,0,"CC","FreeLocal","Standard",40,4
"F","F","M",2,8032.160000,"N",45,29.680000,0.000000,59.080000,0,"CC","FreeLocal","Standard",88,2
"F","F","S",1,93454.300000,"Y",48,18.940000,0.000000,25.180000,0,"Auto","FreeLocal","Standard",44,4
"T","M","M",0,5745.000000,"Y",15,26.400000,0.000000,17.710000,0,"CC","FreeLocal","Standard",44,1
"F","F","S",0,83287.000000,"N",77,0.410000,7.350000,208.190000,0,"Auto","Budget","Standard",215,4
"F","F","S",0,92564.100000,"Y",49,23.170000,0.000000,51.680000,0,"Auto","FreeLocal","Standard",74,3
"F","M","S",0,86448.200000,"Y",38,4.910000,3.140000,82.190000,0,"CC","Budget","Intnl_discount",90,2
"F","F","M",2,48322.500000,"Y",49,6.690000,0.000000,43.600000,0,"CC","FreeLocal","Standard",50,1
"F","F","M",2,81913.800000,"Y",49,6.700000,0.000000,46.330000,0,"CC","FreeLocal","Standard",53,1
"T","F","S",0,919.930000,"N",38,27.280000,0.000000,93.420000,0,"CH","Budget","Standard",120,3
"F","F","M",2,69486.800000,"N",30,7.720000,0.000000,9.390000,1,"CC","Budget","Standard",17,1
"F","F","M",2,24482.800000,"N",33,0.000000,0.000000,2.000000,0,"CH","Budget","Intnl_discount",2,4
"F","F","M",0,14573.600000,"N",64,26.610000,0.000000,236.970000,0,"CC","Budget","Standard",263,4
"F","F","M",2,92103.800000,"N",52,7.420000,0.000000,7.430000,0,"CC","Budget","Standard",14,3
"T","F","S",2,8392.140000,"Y",36,25.030000,7.330000,54.800000,0,"CH","Budget","Intnl_discount",87,3
"T","F","S",0,17138.200000,"N",63,20.010000,0.000000,84.670000,0,"CC","FreeLocal","Intnl_discount",104,3
"F","F","M",2,47010.100000,"N",57,2.540000,0.000000,164.760000,0,"CC","Budget","Intnl_discount",167,1
"F","F","S",1,67239.400000,"N",44,12.890000,0.000000,53.810000,0,"Auto","FreeLocal","Intnl_discount",66,2
"F","M","M",1,69406.700000,"Y",30,6.900000,7.210000,128.100000,1,"CC","FreeLocal","Standard",142,2
"F","F","M",2,83259.300000,"N",50,0.000000,0.000000,4.460000,0,"CC","Budget","Standard",4,4
"F","M","S",2,60095.200000,"Y",23,1.710000,0.000000,116.140000,0,"Auto","Budget","Standard",117,2
"F","F","M",2,2185.600000,"N",52,7.120000,0.000000,20.950000,1,"CH","Budget","Standard",28,1
"T","M","M",1,76511.300000,"N",62,21.680000,3.460000,17.370000,0,"CC","FreeLocal","Standard",42,2
"T","F","M",1,6946.070000,"N",23,25.770000,0.000000,8.840000,0,"CH","FreeLocal","Standard",34,2
"F","F","M",2,11234.700000,"Y",49,0.690000,0.000000,112.720000,0,"CC","Budget","Standard",113,3
"F","F","M",2,36660.900000,"Y",39,0.000000,0.000000,3.360000,1,"CH","Budget","Intnl_discount",3,1
"F","F","M",2,68462.800000,"N",34,24.390000,5.930000,60.510000,0,"CC","FreeLocal","Standard",90,2
"F","F","M",2,72841.300000,"N",47,10.360000,0.000000,72.160000,0,"CC","Budget","Standard",82,1
"F","F","M",2,63670.800000,"Y",46,27.390000,0.000000,51.470000,0,"Auto","FreeLocal","Standard",78,2
"T","M","S",0,83287.000000,"N",45,29.730000,5.240000,35.730000,0,"CC","Budget","Standard",70,2
"F","F","S",1,66000.000000,"Y",45,20.440000,0.000000,100.080000,0,"Auto","Budget","Standard",120,1
"F","M","M",0,12387.600000,"N",56,7.000000,0.000000,65.930000,0,"Auto","FreeLocal","Standard",93,2
"F","F","M",1,82931.300000,"N",64,19.240000,0.000000,118.000000,0,"Auto","FreeLocal","Standard",137,2
"F","F","M",2,57483.900000,"N",44,17.010000,0.000000,27.290000,0,"CH","Budget","Standard",44,2
"T","F","S",2,21274.000000,"N",45,10.870000,0.000000,32.430000,0,"Auto","FreeLocal","Standard",43,2
"F","F","M",2,28267.000000,"N",30,21.870000,0.000000,192.530000,0,"CC","FreeLocal","Standard",214,2
"F","F","M",2,36725.100000,"N",55,8.650000,9.220000,77.000000,0,"CH","Budget","Standard",94,2
"T","M","S",1,94188.300000,"N",57,20.860000,0.860000,19.780000,0,"CC","Budget","Standard",41,2
"F","F","M",2,91861.000000,"Y",41,15.320000,0.000000,6.740000,0,"CC","Budget","Standard",22,3
"T","F","S",1,12374.900000,"Y",33,17.490000,0.000000,106.100000,0,"Auto","FreeLocal","Standard",123,3
"F","F","M",2,69133.900000,"Y",26,8.580000,0.000000,37.730000,0,"CH","FreeLocal","Standard",46,2
"F","F","M",2,84948.000000,"Y",29,11.140000,0.000000,12.580000,0,"CH","FreeLocal","Intnl_discount",23,3
"F","F","M",2,30998.800000,"N",40,2.400000,0.000000,50.500000,0,"Auto","Budget","Standard",52,2
"F","M","S",0,15924.200000,"N",14,0.000000,0.000000,1.460000,0,"CH","FreeLocal","Standard",1,2
"F","M","M",2,21416.500000,"N",35,9.900000,9.170000,8.530000,0,"CC","FreeLocal","Intnl_discount",27,1
"F","M","M",2,78554.200000,"N",16,5.590000,7.260000,23.030000,0,"Auto","Budget","Standard",35,3
"T","M","S",1,3960.500000,"N",14,29.780000,0.000000,66.350000,0,"Auto","FreeLocal","Standard",96,2
"T","M","M",0,60101.100000,"Y",63,27.700000,6.110000,124.140000,2,"CH","FreeLocal","Standard",157,4
"F","F","M",2,38215.900000,"N",30,0.000000,0.000000,0.970000,0,"Auto","Budget","Standard",0,2
"T","F","M",1,13829.400000,"N",22,28.000000,0.000000,160.420000,0,"CC","FreeLocal","Standard",176,1
"F","F","M",2,49745.300000,"N",47,2.840000,0.000000,24.440000,0,"CH","Budget","Intnl_discount",27,3
"F","F","M",2,88427.000000,"N",13,22.460000,4.160000,43.340000,0,"CC","Budget","Standard",69,3
"F","F","M",2,98003.700000,"Y",26,1.030000,0.000000,83.390000,0,"CC","FreeLocal","Intnl_discount",84,1
"F","M","S",0,89142.700000,"N",33,3.760000,8.130000,5.010000,0,"CC","Budget","Intnl_discount",16,2
"F","F","S",0,74530.800000,"N",63,20.890000,0.490000,106.500000,0,"Auto","FreeLocal","Intnl_discount",127,2
"T","F","S",0,35000.000000,"N",23,30.000000,0.000000,262.910000,0,"CC","Budget","Standard",265,3
"F","F","M",2,76289.200000,"N",48,22.200000,0.000000,82.430000,0,"CC","Budget","Intnl_discount",104,2
"T","M","M",1,66931.900000,"N",63,11.720000,0.390000,5.350000,0,"CC","Budget","Standard",17,4
"T","F","D",1,9309.570000,"Y",24,40.000000,0.000000,99.730000,0,"CC","FreeLocal","Standard",108,2
"T","F","M",1,14085.500000,"N",23,26.000000,0.000000,26.780000,0,"Auto","FreeLocal","Intnl_discount",48,1
"T","F","S",0,32962.600000,"N",19,27.000000,0.000000,154.770000,0,"CC","Budget","Intnl_discount",168,2
"T","F","S",0,40000.000000,"N",20,26.000000,0.000000,61.440000,0,"CC","Budget","Standard",65,2
"T","F","S",2,33330.000000,"N",21,33.000000,0.000000,35.730000,0,"Auto","Budget","Standard",41,3
"T","F","S",1,32098.000000,"N",22,33.000000,0.000000,9.510000,0,"Auto","Budget","Intnl_discount",23,1
"T","F","S",2,30090.000000,"N",24,37.000000,2.220000,38.180000,0,"CC","FreeLocal","Standard",62,1
"T","F","S",1,40120.000000,"N",24,28.450000,0.000000,106.300000,0,"CC","Budget","Standard",134,4
"F","F","M",2,90271.600000,"N",44,13.960000,0.000000,96.430000,0,"CC","FreeLocal","Standard",110,4
"F","F","M",2,64816.600000,"Y",31,21.000000,0.000000,6.870000,0,"CC","Budget","Standard",27,2
"F","F","M",2,98217.100000,"N",44,29.490000,0.000000,13.240000,0,"CC","FreeLocal","Standard",42,1
"T","F","S",1,2929.130000,"N",53,14.000000,0.000000,88.230000,0,"CH","Budget","Intnl_discount",102,1
"F","F","M",2,41876.600000,"Y",44,6.780000,0.000000,132.650000,0,"CC","FreeLocal","Standard",139,3
"T","M","M",0,96223.400000,"Y",64,11.810000,0.630000,5.730000,0,"CC","FreeLocal","Standard",18,1
"T","F","S",0,15989.300000,"N",61,3.670000,0.000000,25.490000,1,"CC","Budget","Intnl_discount",29,4
"T","M","M",0,69168.400000,"Y",62,14.160000,6.010000,214.730000,0,"CC","Budget","Standard",234,2
"F","M","M",1,92148.500000,"Y",33,3.000000,0.000000,100.900000,0,"CC","Budget","Intnl_discount",113,2
"F","M","M",0,96681.000000,"Y",19,7.000000,7.660000,40.920000,0,"CC","Budget","Standard",73,2
